time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1773250200,10430.778,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773250500,10432.9505,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773250800,10435.02,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773251100,10437.234,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773251400,10437.6105,10437.6105,,0.0,,,
1773251700,10437.6105,10437.6105,,0.0,,,
1773252000,10437.6105,10437.6105,,0.0,,,
1773252300,10437.6105,10437.6105,,0.0,,,
1773252600,10437.6105,10437.6105,,0.0,,,
1773252900,10437.6105,10437.6105,,0.0,,,
1773253200,10437.733,10437.6105,SELL,0.5,1641.574,1651.574,1623.574
1773253500,10439.8705,10437.6105,SELL,0.5,1641.574,1651.574,1623.574
1773253800,10432.6105,10432.6105,,0.0,,,
1773254100,10432.6105,10432.6105,,0.0,,,
1773254400,10432.6105,10432.6105,,0.0,,,
1773254700,10432.6105,10432.6105,,0.0,,,
1773255000,10432.6105,10432.6105,,0.0,,,
1773255300,10432.6105,10432.6105,,0.0,,,
1773255600,10432.6105,10432.6105,,0.0,,,
1773255900,10432.6105,10432.6105,,0.0,,,
1773256200,10427.6105,10427.6105,,0.0,,,
1773256500,10427.6105,10427.6105,,0.0,,,
1773256800,10426.2445,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773257100,10425.4385,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773257400,10427.556,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773257700,10429.741,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773258000,10430.2975,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773258300,10430.203500000001,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773258600,10432.380500000001,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773258900,10427.256500000001,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773259200,10428.856,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773259500,10429.4215,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773259800,10428.577000000001,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773260100,10430.8145,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773260400,10433.038,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773260700,10435.2335,10427.6105,SELL,0.5,1675.469,1685.469,1657.469
1773261000,10436.6105,10436.6105,,0.0,,,
1773261300,10436.7505,10436.6105,SELL,0.5,1659.092,1669.092,1641.092
1773261600,10438.7335,10436.6105,SELL,0.5,1659.092,1669.092,1641.092
1773261900,10438.5845,10436.6105,SELL,0.5,1659.092,1669.092,1641.092
1773262200,10436.0395,10436.6105,SELL,0.5,1659.092,1669.092,1641.092
